index,Unnamed: 0,id,carpark_id,max_carpark_full,current_carpark_full_total,calculated
45064,45064,2023-09-09T05:00:00-51,51,83,8,2023-09-09 05:00:00
45065,45065,2023-09-01T20:00:00-51,51,83,7,2023-09-01 20:00:00
45066,45066,2023-05-23T14:00:00-61,61,313,125,2023-05-23 14:00:00
45069,45069,2023-10-09T13:00:00-61,61,313,229,2023-10-09 13:00:00
45071,45071,2023-07-20T11:00:00-61,61,313,164,2023-07-20 11:00:00
45081,45081,2023-08-22T22:00:00-71,71,469,12,2023-08-22 22:00:00
45084,45084,2023-08-21T13:00:00-71,71,469,77,2023-08-21 13:00:00
45087,45087,2023-07-07T19:00:00-51,51,83,4,2023-07-07 19:00:00
45094,45094,2023-02-18T00:00:00-61,61,313,23,2023-02-18 00:00:00
45099,45099,2023-02-06T14:00:00-51,51,87,65,2023-02-06 14:00:00
45106,45106,2023-05-10T23:00:00-71,71,469,9,2023-05-10 23:00:00
45109,45109,2023-02-08T13:00:00-71,71,408,163,2023-02-08 13:00:00
45114,45114,2023-10-09T11:00:00-61,61,313,260,2023-10-09 11:00:00
45117,45117,2023-02-06T23:00:00-61,61,313,34,2023-02-06 23:00:00
45120,45120,2023-09-21T09:00:00-51,51,83,52,2023-09-21 09:00:00
45124,45124,2023-02-22T15:00:00-51,51,87,9,2023-02-22 15:00:00
45126,45126,2023-08-01T14:00:00-71,71,469,138,2023-08-01 14:00:00
45133,45133,2023-10-09T12:00:00-61,61,313,255,2023-10-09 12:00:00
45135,45135,2023-07-04T06:00:00-71,71,469,284,2023-07-04 06:00:00
45144,45144,2023-04-11T10:00:00-71,71,469,230,2023-04-11 10:00:00
45145,45145,2023-06-13T22:00:00-71,71,469,118,2023-06-13 22:00:00
45146,45146,2023-10-06T12:00:00-71,71,469,177,2023-10-06 12:00:00
45150,45150,2023-03-07T00:00:00-71,71,469,0,2023-03-07 00:00:00
45167,45167,2023-06-14T04:00:00-61,61,313,0,2023-06-14 04:00:00
45168,45168,2023-09-10T10:00:00-51,51,83,3,2023-09-10 10:00:00
45170,45170,2023-02-10T20:00:00-51,51,87,0,2023-02-10 20:00:00
45173,45173,2023-07-15T15:00:00-71,71,469,56,2023-07-15 15:00:00
45174,45174,2023-04-16T20:00:00-61,61,313,14,2023-04-16 20:00:00
45183,45183,2023-09-10T09:00:00-71,71,469,18,2023-09-10 09:00:00
45185,45185,2023-05-19T00:00:00-61,61,313,4,2023-05-19 00:00:00
45186,45186,2023-07-19T14:00:00-71,71,469,119,2023-07-19 14:00:00
45193,45193,2023-09-19T23:00:00-61,61,313,19,2023-09-19 23:00:00
45198,45198,2023-08-14T23:00:00-61,61,313,7,2023-08-14 23:00:00
45199,45199,2023-10-07T07:00:00-51,51,83,22,2023-10-07 07:00:00
45203,45203,2023-05-21T02:00:00-71,71,469,30,2023-05-21 02:00:00
45204,45204,2023-09-26T12:00:00-71,71,469,279,2023-09-26 12:00:00
45221,45221,2023-05-10T04:00:00-61,61,313,9,2023-05-10 04:00:00
45223,45223,2023-03-20T07:00:00-61,61,313,65,2023-03-20 07:00:00
45224,45224,2023-05-09T14:00:00-61,61,313,167,2023-05-09 14:00:00
45225,45225,2023-08-09T18:00:00-51,51,83,0,2023-08-09 18:00:00
45226,45226,2023-10-08T16:00:00-71,71,469,56,2023-10-08 16:00:00
45228,45228,2023-09-18T14:00:00-71,71,469,138,2023-09-18 14:00:00
45229,45229,2023-04-06T05:00:00-51,51,87,8,2023-04-06 05:00:00
45234,45234,2023-09-06T09:00:00-71,71,469,182,2023-09-06 09:00:00
45236,45236,2023-08-03T14:00:00-51,51,83,21,2023-08-03 14:00:00
45239,45239,2023-09-11T06:00:00-71,71,469,208,2023-09-11 06:00:00
45246,45246,2023-09-24T22:00:00-71,71,469,12,2023-09-24 22:00:00
45247,45247,2023-09-08T23:00:00-61,61,313,9,2023-09-08 23:00:00
45253,45253,2023-03-30T13:00:00-51,51,87,75,2023-03-30 13:00:00
45255,45255,2023-06-24T18:00:00-61,61,313,26,2023-06-24 18:00:00
45257,45257,2023-06-26T02:00:00-71,71,469,21,2023-06-26 02:00:00
45264,45264,2023-05-20T05:00:00-71,71,469,25,2023-05-20 05:00:00
45267,45267,2023-07-25T11:00:00-51,51,83,57,2023-07-25 11:00:00
45272,45272,2023-05-06T23:00:00-71,71,469,11,2023-05-06 23:00:00
45277,45277,2023-06-14T09:00:00-71,71,469,283,2023-06-14 09:00:00
45279,45279,2023-08-07T11:00:00-51,51,83,51,2023-08-07 11:00:00
45303,45303,2023-09-13T11:00:00-61,61,313,82,2023-09-13 11:00:00
45311,45311,2023-05-24T17:00:00-71,71,469,28,2023-05-24 17:00:00
45312,45312,2023-08-01T14:00:00-51,51,83,18,2023-08-01 14:00:00
45313,45313,2023-06-30T09:00:00-61,61,313,176,2023-06-30 09:00:00
45321,45321,2023-08-11T10:00:00-61,61,313,36,2023-08-11 10:00:00
45323,45323,2023-02-24T16:00:00-61,61,313,28,2023-02-24 16:00:00
45329,45329,2023-09-12T11:00:00-71,71,469,232,2023-09-12 11:00:00
45332,45332,2023-08-12T20:00:00-51,51,83,4,2023-08-12 20:00:00
45333,45333,2023-08-16T14:00:00-61,61,313,19,2023-08-16 14:00:00
45336,45336,2023-02-24T23:00:00-71,71,469,7,2023-02-24 23:00:00
45338,45338,2023-07-10T00:00:00-61,61,313,20,2023-07-10 00:00:00
45341,45341,2023-05-02T11:00:00-51,51,87,80,2023-05-02 11:00:00
45342,45342,2023-06-12T21:00:00-71,71,469,20,2023-06-12 21:00:00
45351,45351,2023-07-27T15:00:00-61,61,313,27,2023-07-27 15:00:00
45352,45352,2023-09-06T12:00:00-61,61,313,44,2023-09-06 12:00:00
45354,45354,2023-09-01T06:00:00-51,51,83,15,2023-09-01 06:00:00
45357,45357,2023-07-13T20:00:00-61,61,313,9,2023-07-13 20:00:00
45358,45358,2023-03-12T03:00:00-51,51,87,2,2023-03-12 03:00:00
45367,45367,2023-05-22T01:00:00-71,71,469,30,2023-05-22 01:00:00
45375,45375,2023-02-26T15:00:00-61,61,313,17,2023-02-26 15:00:00
45376,45376,2023-03-01T14:00:00-71,71,469,221,2023-03-01 14:00:00
45382,45382,2023-04-06T20:00:00-71,71,469,0,2023-04-06 20:00:00
45385,45385,2023-08-08T21:00:00-51,51,83,3,2023-08-08 21:00:00
45390,45390,2023-08-27T19:00:00-61,61,313,18,2023-08-27 19:00:00
45392,45392,2023-08-07T22:00:00-71,71,469,53,2023-08-07 22:00:00
45400,45400,2023-04-17T18:00:00-61,61,313,34,2023-04-17 18:00:00
45407,45407,2023-02-03T14:00:00-61,61,313,140,2023-02-03 14:00:00
45411,45411,2023-05-27T14:00:00-61,61,313,18,2023-05-27 14:00:00
45414,45414,2023-04-14T03:00:00-61,61,313,8,2023-04-14 03:00:00
45415,45415,2023-08-23T01:00:00-71,71,469,12,2023-08-23 01:00:00
45418,45418,2023-04-18T18:00:00-51,51,87,8,2023-04-18 18:00:00
45427,45427,2023-08-03T00:00:00-71,71,469,20,2023-08-03 00:00:00
45437,45437,2023-07-30T16:00:00-61,61,313,2,2023-07-30 16:00:00
45439,45439,2023-06-20T01:00:00-51,51,83,7,2023-06-20 01:00:00
45442,45442,2023-07-19T11:00:00-71,71,469,241,2023-07-19 11:00:00
45458,45458,2023-02-27T18:00:00-51,51,87,0,2023-02-27 18:00:00
45459,45459,2023-08-14T09:00:00-51,51,83,33,2023-08-14 09:00:00
45468,45468,2023-08-11T08:00:00-71,71,469,70,2023-08-11 08:00:00
45480,45480,2023-08-28T16:00:00-71,71,469,28,2023-08-28 16:00:00
45482,45482,2023-07-16T19:00:00-61,61,313,16,2023-07-16 19:00:00
